NOM_AGENCE;NUM_AGENCE;NOM_DOSSIER;DAT_RECEPT;NUM_AGREMENT;LOT_NUM_REF;LOT_ADR_1;LOT_ADR_2;LOT_CP;LOT_VILLE;MNT_LOYER;LOT_TYP;LOT_MEUBLE;LOT_SUPERFICIE;PRES_DOS_FIC;NOM_REFERENT;DAT_DEB_TRAIT;DAT_COMPLET;DAT_INFO_AGENCE;FLG_COMPLET;JUST_MANQ;DAT_JUST_MANQ;RESULT_EFF;DOSS_PHASE;DOSS_STATUT;FLG_GARANTI;NUM_CONTRAT;CAUSE_REFUS;DOSS_COMMENT;DAT_SIGN_BAIL;DAT_EFF_BAIL;NB_LOC
Noel - Lemaire;+33 749913842;Vasseur;12/07/2019 17:52:42;AGR_201907121DNU;Cd7560V_cc419327-a5d2-4129-9c05-6ef0f1082981;11242 Alexandre de Caumartin;;10935;South Mathilde;339.53;t3;ABS;23151;OUI;Fernandez;13/07/2019 12:22:38;17/07/2019 17:58:30;18/07/2019 10:09:32;OUI;;15/07/2019 16:29:13;;Terminé;REFUSE;NON;0757696236;TAUX EFF;Distinctio autem nostrum voluptas consectetur eum consequatur iste. Dolor eos facere ut nisi asperiores quaerat. Recusandae vitae quae qui sed sit. At molestias sit non. Accusantium at quasi reprehenderit optio illo. Repellendus officia vel velit ducimus ut a ut est ut.;;15/09/2019;1
Perez - Fleury;+33 121272171;Vincent;17/07/2019 11:06:58;AGR_201907170UVM;901707R_b19d53f7-8435-49d7-85a3-32a417acfe5e;295 Arthur de Vaugirard;;72164;Deschampston;125.23;t3;ABS;28592;OUI;Roger;18/07/2019 10:12:12;18/07/2019 10:23:34;18/07/2019 10:30:39;OUI;;;;Terminé;REFUSE;NON;+33 512139603;TAUX EFF;Labore dolore itaque voluptates dolor non iusto. Magnam ea cupiditate eum debitis officia fugit accusamus vel. Rerum consequatur eos praesentium deserunt consequatur quae ad. Excepturi ducimus numquam sed necessitatibus eveniet reprehenderit assumenda. Non magnam excepturi ut minima. Eligendi quae vero rerum distinctio consequatur eius aut quibusdam.;;01/08/2019;1
Renaud SARL;0332961071;Sanchez;08/07/2019 10:59:37;AGR_201907080UJD;901707R_0f3caa7a-5166-4372-9385-a0b5ae6704ef;577 Fabre des Lombards;;99146;South Juliefurt;739.53;t2;ABS;91132;NON;Martin;08/07/2019 13:59:34;17/07/2019 18:39:00;18/07/2019 10:59:17;OUI;;08/07/2019 12:51:05;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0600399151;;Magni earum maiores dolor debitis doloremque eius quidem qui voluptas. Dolor odit aut ipsum ducimus vero animi in est ratione. Excepturi corrupti rerum sed. Voluptatem aspernatur illum. Voluptate est amet est asperiores eaque quisquam. Praesentium explicabo ea quod.;;15/07/2019;1
Paris, Duval and Marty;+33 571777526;Meunier;09/07/2019 15:05:43;AGR_2019070915XJ;E_009733_17_c0909a3b-96fc-438d-8347-ec3f27843583;67285 Yanis Adolphe Mille;;74840;South Raphaëlhaven;389.52;f2;ABS;2196;NON;Deschamps;16/07/2019 11:52:38;18/07/2019 10:17:40;18/07/2019 11:05:06;OUI;;16/07/2019 10:47:00;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0126862428;;Vel pariatur est illo quas. Dolore consectetur ut. Soluta rerum qui ab officia placeat. Vel quam est voluptatem odio asperiores dolor nulla.;;07/09/2019;2
Lucas, Brun and Fabre;+33 358790280;Lacroix;04/07/2019 17:08:20;AGR_201907041BLW;100579Y_96e98970-c668-4418-a49e-b4d550bb0a3c;6078 Muller Joubert;;86708;West Linachester;466.91;t3;ABS;23155;OUI;Charpentier;06/07/2019 00:55:38;08/07/2019 15:45:59;18/07/2019 11:10:29;OUI;;08/07/2019 14:43:06;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 354602155;;Praesentium odit totam tempora illo illum fugiat aut et praesentium. Libero eos ea blanditiis sed. Aut nesciunt iste labore non quas ad eveniet. Veritatis est aliquid tempora. Autem quasi et dolorem modi quod veniam.;;15/07/2019;1
Sanchez, Morel and Leroy;0321042464;Menard;18/07/2019 10:31:32;AGR_201907180T8K;026811S_8dbac9bf-09e3-4fc4-8928-5ac98e4327ce;319 Lecomte de Vaugirard;;62622;Lake Nathanton;663.93;t1;ABS;53649;OUI;Michel;18/07/2019 11:00:34;18/07/2019 11:12:23;18/07/2019 11:26:13;OUI;;;;Terminé;REFUSE;NON;0326693765;TAUX EFF;Quo nemo facere ut sit enim consequatur facere rerum. Delectus sunt doloribus sed expedita ut soluta voluptate et fugit. Dolores sit animi sunt consequatur. Odio voluptas odio ut cum omnis modi quia maiores quia. Occaecati nobis tenetur. Veritatis quasi aspernatur.;;25/07/2019;1
Garcia EURL;0330165246;Dufour;16/07/2019 15:16:42;AGR_2019071616FU;undefined_1ef7ef00-e15d-4db0-a64b-995439641c91;75355 Sacha de Solférino;;55998;Lake Lisa;73.13;t1;ABS;18136;NON;Nguyen;18/07/2019 11:20:01;;;NON;;17/07/2019 16:50:25;;Réception;EN COURS;;+33 603040435;;Animi vero perspiciatis totam perspiciatis vel cumque a. Ipsam vel aut blanditiis et. Quidem eum sed placeat voluptatem porro.;;18/07/2019;2
Picard - Bourgeois;+33 631446782;Roux;11/07/2019 15:02:07;AGR_2019071115RJ;2787_26c9b971-16d6-49fa-9d90-4f010c1707b6;317 Masson des Francs-Bourgeois;;59315;Maevaton;91.75;f1;ABS;67002;OUI;Carre;12/07/2019 12:31:56;18/07/2019 10:53:43;18/07/2019 11:36:25;OUI;;13/07/2019 18:05:04;;Terminé;REFUSE;NON;0589315114;TAUX EFF;Aliquid qui asperiores mollitia est. Error eos omnis in quidem id. Animi cupiditate aut voluptatem qui. Quasi quia dolores non eligendi vero maiores.;;01/08/2019;1
Guillot, Guerin and Gonzalez;0312313610;Marchal;11/07/2019 16:58:14;AGR_201907111B52;11017808521_6a52d9c2-cd8d-406c-8319-552e3bc015da;403 Julien d'Alésia;;59679;Port Océane;122.13;t1;ABS;90607;OUI;Remy;12/07/2019 13:27:19;18/07/2019 09:55:13;18/07/2019 11:39:30;OUI;;16/07/2019 18:29:07;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 487914299;;Voluptate perspiciatis non. Cupiditate amet earum commodi sequi. Rerum ad et quis. Nihil molestiae autem. Id eum laboriosam incidunt natus inventore.;;01/08/2019;1
Brun - Roussel;0564645129;Dufour;12/07/2019 12:09:50;AGR_201907120XSE;undefined_bfa334c7-02c6-4dba-bac8-ed8657ec3a4b;02395 Schneider Montorgueil;;89500;Romainmouth;425.81;f1;ABS;34969;NON;Vincent;17/07/2019 21:20:48;17/07/2019 23:35:27;18/07/2019 11:44:02;OUI;;15/07/2019 12:09:23;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 701759438;;Ad quos nemo porro quae adipisci dolorem. Vel nostrum molestiae. Pariatur eum enim quo voluptas. Unde perspiciatis voluptatem pariatur vitae suscipit. Vitae sed quis dolores magnam ab sunt magnam.;;01/08/2019;2
Robin SCOP;0512250477;Dubois;12/07/2019 15:16:33;AGR_2019071216FL;016614 J_fa01ea90-b0eb-424d-84ab-0a3133716182;82838 Da silva Vaneau;;01749;Ambrestad;289.87;t3;ABS;6886;NON;Marchal;18/07/2019 00:14:05;18/07/2019 01:03:56;18/07/2019 11:46:39;OUI;;15/07/2019 18:40:04;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0494405003;;Eos voluptatum sed reiciendis error est aut assumenda itaque. Hic ratione quos aut repudiandae quo libero architecto. Delectus expedita nostrum quasi sunt aut quaerat sit. Repellat rerum nam. Qui provident laborum nobis. Expedita odio non cumque vitae ullam sint.;;19/08/2019;2
Leclercq SARL;0734050043;Barbier;13/07/2019 15:31:32;AGR_20190713174K;111133W_4b909e0f-8720-4ec0-a0bc-8e747bf3bfac;5796 Moulin de la Pompe;;83624;Raphaëlville;600.57;f2;ABS;62371;OUI;Lucas;15/07/2019 09:17:00;18/07/2019 01:26:58;18/07/2019 11:53:56;OUI;;16/07/2019 15:18:04;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 313628228;;Qui debitis voluptatem magnam consequatur magni. At qui accusantium pariatur quaerat ut aut aliquid qui autem. Enim praesentium qui sapiente maiores sed alias veniam eum repellat. Illo ad minima veritatis similique velit voluptate rerum est ullam. Voluptatibus nostrum earum architecto et tempore quis molestias. Aliquam autem perferendis et est omnis ut et.;;01/08/2019;1
Marchal SAS;0214206782;Andre;12/07/2019 12:07:57;AGR_201907120XP9;016223H_83b6e190-59c8-40b6-9c82-5cd6767190b5;04319 Noémie de Tilsitt;;04215;Lake Chloé;620.48;t2;ABS;24255;OUI;Dubois;12/07/2019 18:39:20;17/07/2019 17:44:58;18/07/2019 12:03:19;OUI;;16/07/2019 14:07:07;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0501248418;;Vel voluptatem est. Laborum itaque ut. Voluptatem suscipit dolor qui reiciendis. Beatae dolorum numquam quis non deleniti veniam quae occaecati.;;12/07/2019;1
Barbier - Muller;+33 108321721;Fournier;16/07/2019 15:45:07;AGR_2019071617R7;111071E_34113adc-f60b-4515-a62d-d02a37436dcd;423 Antoine des Rosiers;;24016;East Sarahland;467.92;t3;ABS;53330;OUI;Barbier;17/07/2019 18:08:21;17/07/2019 18:16:27;18/07/2019 12:12:13;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 754027082;;Aut aut fugiat quas eveniet saepe. Vero sint quis similique laborum suscipit recusandae. Quibusdam voluptas vitae nam fugiat deleniti nam est dolores quia. Nam quos sed molestias ipsam rerum. Iste voluptates facilis aut voluptate autem est sed et.;;17/07/2019;1
Aubry SAS;0521533228;Moulin;10/07/2019 16:51:39;AGR_201907101AU3;002233C_579aed42-f44f-4db7-9b89-9994e078ab00;39724 Mathilde d'Orsel;;61774;North Julie;212.61;t1;ABS;28979;OUI;Schneider;11/07/2019 12:02:20;18/07/2019 10:48:00;18/07/2019 12:14:52;OUI;;18/07/2019 10:18:10;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0293649549;;Aut ipsa et in velit. Ipsum possimus qui vero rerum id totam aliquid. Sunt est in expedita nisi ex corporis. Fuga nihil voluptatem enim adipisci possimus.;;15/07/2019;1
Brunet SEM;0390848533;Rousseau;09/07/2019 17:57:39;AGR_201907091DW3;20747_4a9be715-b908-40ec-9a69-6ae78aab91d5;1223 Nicolas Saint-Séverin;;03070;Caronstad;112.68;f1;ABS;22331;OUI;Marty;10/07/2019 10:31:28;15/07/2019 14:22:42;18/07/2019 12:19:14;OUI;;12/07/2019 17:35:08;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 348584550;;Error autem et id inventore ipsum quae. Deserunt ipsum officiis autem sed exercitationem excepturi corrupti accusantium. Ipsam hic est dolorem accusantium ut incidunt officia natus corrupti. Ut sequi adipisci at quis est dicta vitae non minus.;;09/08/2019;2
Garnier - Laine;0372799905;Guillaume;12/07/2019 17:51:00;AGR_201907121DL0;20638_aa9d36c7-65c5-49b8-9db6-5ca6796d23d6;18828 Maillard Saint-Bernard;;09739;Port Charlotteshire;701.79;f1;ABS;59896;NON;Lucas;18/07/2019 11:32:16;18/07/2019 11:44:36;18/07/2019 12:20:57;OUI;;15/07/2019 16:33:04;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 206711329;;Et sunt eveniet consequuntur eum quia incidunt est deserunt quod. Omnis minus id dolorem ullam mollitia nulla deleniti. Quaerat sed a voluptatem.;;15/07/2019;1
Clement SA;0263024073;Garnier;17/07/2019 12:03:33;AGR_201907170XHX;23931_2e0f6543-6f2e-4121-bfc9-601524bb68dc;0083 Yanis d'Abbeville;;27812;New Maelfurt;435.67;t1;ABS;10583;OUI;Roger;18/07/2019 12:14:38;;;NON;;;;Réception;EN COURS;;0354670813;;Praesentium tempore et quasi laudantium. Eos qui voluptatum at repellendus distinctio. Autem modi mollitia laboriosam ex magnam. Nulla eum voluptatem odio distinctio nulla dolorem id deserunt. Illum provident asperiores magni minus.;;01/09/2019;1
Roux - Andre;+33 643749444;Carre;15/07/2019 11:17:06;AGR_201907150VCI;undefined_77d6c8de-7312-424a-a91d-732efae2dab8;45147 Pauline Du Sommerard;;37792;East Gabrielstad;50.27;f2;ABS;49650;NON;Laine;17/07/2019 18:36:37;17/07/2019 18:48:00;18/07/2019 12:28:20;OUI;;16/07/2019 10:54:04;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0732988607;;Veniam quibusdam eligendi voluptas possimus voluptates. Enim culpa voluptas. Maiores illum eligendi itaque debitis. Saepe molestiae repellendus ex quod magnam rem.;;17/07/2019;2
Charpentier SEM;+33 642880454;Meyer;12/07/2019 18:40:47;AGR_201907121FVZ;undefined_e633463f-9b93-4627-b2a2-9005bffe3d43;32849 Menard d'Argenteuil;;14180;Guillotshire;798.08;t3;ABS;36246;OUI;Dufour;15/07/2019 12:54:15;18/07/2019 12:38:05;18/07/2019 12:51:00;OUI;;16/07/2019 11:51:02;;Terminé;REFUSE;NON;+33 221304051;TAUX EFF;Consequuntur omnis amet. Asperiores exercitationem est molestiae officia. Doloremque ipsam ab ea unde. Consequatur eius quaerat debitis quam ratione omnis. Vitae nesciunt amet. Quibusdam omnis voluptatem neque dolor quisquam veniam.;;31/07/2019;2
Paul - Nicolas;0310117013;Brun;08/07/2019 11:16:57;AGR_201907080VC9;014270L_1ac822ee-e359-41b9-8831-5d38c7c80e75;6621 Lemoine de Rivoli;;34181;New Lina;376.79;t3;ABS;37717;NON;Marie;10/07/2019 10:53:21;;;NON;;10/07/2019 09:37:42;;Réception;EN COURS;;+33 425513682;;Nihil rerum quo enim dolore expedita. Reiciendis quidem earum. Eveniet qui qui laborum ut sed facilis ratione. Illo harum natus voluptas.;;18/07/2019;2
Baron, Hubert and Bernard;0348542248;Vincent;11/07/2019 19:24:00;AGR_201907111HW0;014841G_7f144440-2dc4-4a7f-8f6e-f78162c4b79e;67215 Mohamed des Rosiers;;76334;Moreaushire;728.76;t2;ABS;59300;OUI;Laine;15/07/2019 09:11:00;18/07/2019 12:46:21;18/07/2019 13:48:06;OUI;;15/07/2019 17:14:16;;Terminé;REFUSE;NON;+33 199998875;TAUX EFF;Quibusdam asperiores incidunt quam explicabo animi ab. Dolores aut libero dolorum illum labore. Aut optio voluptatem ea qui rerum nulla consequatur quas. Et totam quas cupiditate non. Quia voluptatum nobis et ut animi cupiditate itaque est cumque. Ut velit expedita.;;18/07/2019;1
Barbier SAS;+33 540256961;Fernandez;16/07/2019 15:52:52;AGR_201907161844;undefined_64743a3f-0e11-4522-8aa5-b352c19c7161;130 Henry d'Assas;;81394;Port Mathéohaven;419.81;f2;ABS;95794;OUI;Vidal;17/07/2019 13:07:33;18/07/2019 12:06:18;18/07/2019 13:54:13;OUI;;18/07/2019 10:35:35;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 468266198;;Voluptatum ea rerum quas nam vel in. Repellendus aliquam minus atque minus molestias dolores odio pariatur. Magni alias distinctio aut ex minus voluptas laudantium adipisci. Et perferendis rerum debitis dolorem aut rem. Autem dolores quibusdam quidem magnam et culpa.;;18/07/2019;2
Michel - Lefevre;+33 736669622;Prevost;10/07/2019 11:32:52;AGR_201907100W2S;018323 R_b41d76e4-b382-4349-a4d4-4851cb2adc52;68721 Huet de Paris;;09929;Rouxfurt;435.35;f2;ABS;56956;OUI;Muller;10/07/2019 12:41:53;10/07/2019 13:11:12;18/07/2019 14:00:47;OUI;;15/07/2019 11:07:12;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0718785946;;Aut quod et laboriosam odio ab commodi. Eos facilis adipisci accusamus recusandae soluta quia molestias et earum. Fugit blanditiis iste quis. Eaque quo voluptas sit provident error quidem laudantium.;;29/08/2019;1
Picard, Simon and Michel;0191291004;Durand;17/07/2019 12:08:18;AGR_201907170XPU;019434Y_8b8ca2e4-28c3-47f2-86c0-ac5ce7a3074c;8399 Vincent de l'Odéon;;81893;North Ambreburgh;705.88;t1;ABS;65943;OUI;Deschamps;18/07/2019 11:30:27;18/07/2019 11:44:41;18/07/2019 14:14:46;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0147038171;;Dolor saepe natus ut iste. Reiciendis debitis aut sed sint quos neque nisi ut. Minus ullam est accusantium sequi. Blanditiis molestiae qui voluptas.;;01/08/2019;1
Carre, Morin and Breton;0222359184;Roy;16/07/2019 16:35:45;AGR_201907161A3L;651_fc9d863c-fc6c-4c20-ba42-97b2cd6556a6;915 Lisa Saint-Séverin;;18521;Port Charlottebury;666.09;f1;ABS;16189;NON;Faure;18/07/2019 13:31:13;18/07/2019 13:58:13;18/07/2019 14:16:44;OUI;;17/07/2019 18:41:29;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 537659191;;Quam dolores sit consequatur ut totam aut corrupti culpa alias. Deleniti nam non molestiae eos recusandae sequi dolor est. Nemo commodi et omnis quia itaque eius cupiditate illum. Et omnis sint accusamus totam animi ut ut. Dicta laboriosam culpa alias vitae reprehenderit et ex voluptatem iure. Doloremque mollitia voluptatibus temporibus quo.;;13/08/2019;2
Roche SCOP;0304136868;Petit;17/07/2019 19:27:34;AGR_201907171I1Y;4961_b2812f5a-2e82-40f2-b1b5-69a2bf1d4770;573 Anaïs Adolphe Mille;;90284;Martyhaven;733.66;t1;ABS;19;OUI;Dumas;17/07/2019 21:32:58;17/07/2019 22:36:58;18/07/2019 14:28:22;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 637805818;;Laudantium nam earum rerum consectetur. Aspernatur optio quas praesentium voluptates quia. Quam eligendi facere inventore est qui doloribus qui saepe. Cumque quisquam eaque. Et ea laborum error sunt aut. Ad et et vitae harum est.;;01/08/2019;1
Chevalier - Dumont;+33 419421576;Moreau;17/07/2019 13:18:42;AGR_2019071710Z6;007972Q_7bce5bb0-bd7e-4ab1-ab64-929b440e24ea;998 Jean de Paris;;97037;North Louisfort;142.91;t1;ABS;81994;OUI;Barbier;18/07/2019 13:08:43;18/07/2019 13:47:10;18/07/2019 14:28:47;OUI;;17/07/2019 17:10:48;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0685334895;;Autem est et odio. Quia modi expedita nam reiciendis facilis sit dolores. Consequuntur praesentium illo labore laborum et. Corrupti ea dolorem ad repellat.;;01/08/2019;1
Lemaire, Noel and Royer;+33 115311388;Marie;17/07/2019 13:49:56;AGR_2019071712F8;CO44290R_8b3152a6-e9f2-4a55-a528-8134ed9dd2e1;039 Evan Saint-Bernard;;24218;Rodriguezchester;348.29;t1;ABS;20436;OUI;Brunet;18/07/2019 11:09:39;18/07/2019 11:29:49;18/07/2019 14:34:41;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 641832698;;Repellendus autem ut ut et. Assumenda aut deserunt reprehenderit ut. Quod sit porro qui odit voluptas.;;01/08/2019;1
Moulin, Morin and Lefevre;0443736034;Roger;17/07/2019 13:23:20;AGR_20190717116W;110002_44ddefa6-d532-417f-9490-0e655c09c87b;2008 Nicolas de Presbourg;;03431;Lolashire;689.14;t3;ABS;68299;OUI;Simon;18/07/2019 13:47:25;18/07/2019 14:11:25;18/07/2019 14:36:40;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0761156523;;Asperiores maiores veritatis assumenda veritatis iste. Quae quos natus voluptate dolore quia enim. Aliquam eos tenetur ducimus natus sit suscipit quis. Numquam sed numquam quae eum. Omnis aliquam et voluptas saepe rerum voluptas rerum.;;01/08/2019;2
Colin SAS;+33 133460839;Nicolas;17/07/2019 11:01:25;AGR_201907170UMD;C047448Y_051fb1fc-a838-4bcc-bf6f-a512f843b411;1129 Gonzalez Adolphe Mille;;19014;Charlotteburgh;879.63;t3;ABS;75879;OUI;Marie;18/07/2019 12:08:16;18/07/2019 14:00:05;18/07/2019 14:40:44;OUI;;;;Terminé;REFUSE;NON;+33 436467617;TAUX EFF;Similique assumenda iure accusantium veritatis quo eos. Harum eos qui magnam. Corrupti voluptatem voluptas voluptatem reprehenderit. Ratione sapiente ea facere nesciunt perferendis. Natus ad dignissimos ipsam dolore et.;;17/07/2019;2
Deschamps - Guillot;0761183428;Michel;03/07/2019 11:36:41;AGR_201907030W95;2967_74d1e339-d597-4b7d-83c2-47ffa3f5900f;7147 Fernandez La Boétie;;53761;Port Sarahport;195.26;f2;ABS;63661;OUI;Dumas;03/07/2019 11:47:29;03/07/2019 12:57:09;18/07/2019 14:54:37;OUI;;17/07/2019 17:48:03;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 401319039;;Commodi fuga harum numquam. Sapiente eveniet sit similique deserunt vitae qui porro repellendus. Illum aut possimus reiciendis maxime dolore et quae. Rerum dolor quo nobis est et.;;01/08/2019;2
Caron, Duval and Michel;0226795057;Guyot;17/07/2019 13:04:01;AGR_2019071710AP;18772_88ea5b3a-477f-4de4-a0fc-1edb1edd8873;70527 Renard de la Pompe;;40094;Nguyenton;998.69;f2;ABS;85192;OUI;Lemaire;18/07/2019 14:23:11;18/07/2019 14:38:00;18/07/2019 15:04:58;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 723701984;;Et et quos sunt ad et id magni. Provident cumque numquam tempore ut libero rerum veniam dolor aut. Eveniet officiis saepe nemo vel ipsam facere sunt molestiae. Placeat iste voluptatem suscipit dolorem dolorum consequatur ut accusantium nihil. Aut aliquam voluptas dolor autem et.;;18/07/2019;2
Dupuis, Dupont and Perrot;0467274833;Pierre;17/07/2019 13:20:34;AGR_20190717112A;022020K_ed1edd38-b957-4888-ab3f-81754737d483;022 Vasseur du Dahomey;;62123;North Evanport;320.61;f1;ABS;46718;OUI;Laurent;18/07/2019 14:18:13;18/07/2019 14:27:21;18/07/2019 15:20:26;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 797922345;;Explicabo cum cum fuga sed beatae officia ex exercitationem. Qui quod laboriosam voluptatem at id molestiae explicabo consequatur. Minima molestiae aliquid. Magni impedit reiciendis et eaque sed cupiditate aut perspiciatis. Magnam vero qui.;;01/07/2019;1
David, Benoit and Colin;0743117558;Pons;17/07/2019 13:28:46;AGR_2019071711FY;023823U_2eacbde4-8b93-4617-999f-8c7e7dc20380;7603 Garcia de Vaugirard;;14037;South Pauline;136.18;f1;ABS;2935;OUI;Leroy;18/07/2019 15:51:02;18/07/2019 15:56:55;18/07/2019 16:06:28;OUI;;;;Terminé;REFUSE;NON;0410696190;TAUX EFF;Officiis in sed impedit incidunt sit natus amet. Sit recusandae et temporibus provident consequuntur ratione. Et omnis incidunt et quibusdam ullam.;;23/08/2019;2
Paul EI;0185202249;Paul;17/07/2019 16:57:41;AGR_201907171B45;026811 S_94ca8fde-4bab-47fd-8e9e-abafd5ebaabc;3234 Lucas Oberkampf;;84054;Benoitside;932.43;t3;ABS;40519;OUI;Lefebvre;18/07/2019 16:25:28;18/07/2019 16:49:20;18/07/2019 17:09:13;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 241276650;;Voluptate suscipit molestiae eligendi exercitationem voluptatem expedita quis culpa. Aut maiores sapiente. Dolorum debitis non.;;29/07/2019;1
Legrand, Morel and Paul;0465158088;Deschamps;17/07/2019 16:07:25;AGR_2019071718SD;undefined_4d03dee5-46e7-4b09-a7ad-0fad98003ea3;2307 Adam Pierre Charron;;91435;Maximeburgh;916.43;t1;ABS;32155;OUI;Perrin;18/07/2019 15:35:15;18/07/2019 16:14:11;18/07/2019 17:09:37;OUI;;;;Terminé;REFUSE;NON;0546412415;TAUX EFF;Aperiam nostrum perspiciatis qui dolores iure earum occaecati magni ad. Non et ut quia qui neque nulla. Quia eos animi molestiae.;;03/08/2019;2
Rousseau - Michel;0799124686;Meyer;15/07/2019 16:55:43;AGR_201907151B0V;019434Y_a4c2b390-70e7-48e9-88e1-11d6a0dbd959;6264 Pierre Saint-Denis;;16712;Henrymouth;261.92;f2;ABS;27321;NON;Charles;18/07/2019 15:37:48;18/07/2019 15:44:46;18/07/2019 17:12:20;OUI;;18/07/2019 15:37:13;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0600397923;;Voluptatem dolorum vitae ad eveniet quaerat non sed quam. Maiores laboriosam incidunt molestiae nisi quisquam nemo ut aliquid. Ducimus sit temporibus perferendis esse vitae rem. Corrupti velit voluptatum reiciendis similique ullam. Nihil quis ut ipsam mollitia qui illo architecto vel alias.;;15/08/2019;2
Fernandez - Girard;0205137766;Le gall;15/07/2019 12:43:26;AGR_201907150ZCE;019434Y_e726885c-829f-4206-ac97-bffff16f23eb;3283 Gautier du Dahomey;;10378;Lake Maxencestad;940.93;t2;ABS;75183;OUI;Marty;15/07/2019 17:12:29;18/07/2019 13:54:10;18/07/2019 17:14:28;OUI;;16/07/2019 15:12:06;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0675881457;;Qui dolores qui nemo velit qui dolore et. Accusamus in neque molestiae aliquid et eius. Quia ratione doloremque doloribus facilis. Esse rerum error nihil ducimus. Incidunt dolorem quo quasi impedit. Commodi et et delectus culpa.;;01/09/2019;1
Huet - Sanchez;+33 653280705;Brun;17/07/2019 16:56:50;AGR_201907171B2Q;047224F_aa8d7988-9235-480c-90ed-ed0133f61254;5115 Thomas de la Paix;;30716;West Alicestad;903.54;t1;ABS;55162;OUI;Chevalier;18/07/2019 16:08:58;18/07/2019 16:18:31;18/07/2019 17:17:12;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 173741287;;Assumenda dicta animi voluptas quibusdam maiores. Debitis voluptas aperiam. Ut voluptatem voluptatum vel recusandae sit ullam. Numquam soluta eius ut et. Et assumenda aperiam tempore odit labore.;;01/08/2019;1
Da silva - Roussel;+33 461542494;Huet;17/07/2019 13:02:27;AGR_201907171083;undefined_abb5ecc9-a8b7-48e3-939b-85fdc48b2400;225 Sanchez d'Argenteuil;;40926;Marieshire;859.80;f1;ABS;74847;OUI;Roussel;18/07/2019 15:36:21;18/07/2019 15:44:21;18/07/2019 17:18:25;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 374528349;;Provident quia repellat molestiae at dolor adipisci et tenetur ducimus. Et quia itaque qui commodi quod alias est rerum. Et temporibus et qui et voluptatem aut. Beatae et sed maxime veritatis dignissimos. Nulla et modi vero sed est ab eos.;;01/08/2019;1
Gonzalez EI;0601523258;Nicolas;17/07/2019 16:06:52;AGR_2019071718RG;22612_d354aae6-eb77-4a7b-8175-13ce4c0a02af;3061 Menard de l'Abbaye;;01383;East Camille;873.95;f1;ABS;98782;OUI;Martinez;18/07/2019 15:37:41;18/07/2019 16:01:25;18/07/2019 17:24:15;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 253709447;;Dolores quisquam minus voluptas temporibus ratione eum voluptatum tempora repudiandae. Dolores numquam qui et nihil totam repellendus. Vitae amet itaque doloribus fugiat est explicabo quia. Dolorum porro sit expedita beatae neque numquam. Quidem sequi exercitationem quasi velit ut animi. Beatae saepe saepe quia rerum recusandae.;;01/08/2019;2
